Format Version,1.24,Take Name,Day2_SF_SupaFarDist_Back2,Take Notes,,Capture Frame Rate,60.000000,Export Frame Rate,60.000000,Capture Start Time,2024-09-02 04.55.33.750 PM,Capture Start Frame,-2147483648,Total Frames in Take,6718,Total Exported Frames,6718,Rotation Type,XYZ,Length Units,Millimeters,Coordinate Space,Global

,Type,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body,Rigid Body
,Name,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Fan3,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001,TJ_Drone3 001
,ID,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,AB9E0EE4619111EF8DF8D758332C0699,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799,F8485AB468A511EF8DF8D758332C0799
,,Rotation,Rotation,Rotation,Position,Position,Position,Rotation,Rotation,Rotation,Position,Position,Position
Frame,Time (Seconds),X,Y,Z,X,Y,Z,X,Y,Z,X,Y,Z
31,0.516667,-0.300273,-0.619649,-5.649579,3041.210205,-1458.391602,1155.516235,-6.659281,-8.037271,175.093201,-3059.454102,-1416.049683,-15.846899
32,0.533333,-0.293868,-0.636247,-5.643411,3041.221924,-1458.383911,1155.502563,-6.570861,-7.518410,175.060394,-3059.450195,-1416.047729,-15.883764
33,0.550000,-0.300435,-0.672205,-5.668950,3041.265869,-1458.398315,1155.470459,-6.379416,-8.107215,174.960052,-3059.446289,-1416.039307,-16.023699
34,0.566667,-0.311414,-0.680081,-5.628747,3041.242676,-1458.385376,1155.443359,-6.617119,-7.918227,175.053818,-3059.370605,-1416.026855,-15.946053
35,0.583333,-0.295109,-0.677647,-5.564806,3041.269531,-1458.399048,1155.493774,-6.642406,-7.749706,175.012817,-3059.368896,-1416.020752,-15.919222
36,0.600000,-0.271154,-0.632108,-5.510432,3041.280273,-1458.414551,1155.460205,-7.705368,-10.757936,175.068634,-3059.317383,-1416.038940,-15.474164
37,0.616667,-0.287357,-0.669251,-5.587272,3041.304443,-1458.418701,1155.456055,-7.178966,-9.363912,174.968826,-3059.395020,-1416.065063,-15.660815
38,0.633333,-0.300137,-0.624246,-5.677182,3041.254639,-1458.408203,1155.482300,-6.764327,-8.048310,174.896393,-3059.474854,-1416.072266,-15.823184
39,0.650000,-0.280089,-0.584449,-5.645933,3041.202881,-1458.394531,1155.552734,-7.793974,-10.731977,175.041107,-3059.327393,-1416.051636,-15.433880
40,0.666667,-0.269778,-0.610997,-5.618187,3041.233398,-1458.395142,1155.541260,-6.858394,-8.849568,175.031097,-3059.442383,-1416.123169,-15.723025
41,0.683333,-0.309147,-0.590366,-5.671810,3041.228271,-1458.402344,1155.539062,-6.519245,-8.301130,174.968262,-3059.529297,-1416.092529,-15.928798
42,0.700000,-0.324919,-0.626266,-5.695891,3041.270996,-1458.395264,1155.449829,-6.432325,-7.737453,175.060013,-3059.453369,-1416.135010,-15.947003
43,0.716667,-0.304628,-0.596962,-5.662254,3041.264404,-1458.401367,1155.510742,-6.656529,-7.916702,175.117004,-3059.415283,-1416.066650,-15.927604
44,0.733333,-0.289255,-0.628173,-5.627654,3041.277344,-1458.409180,1155.467773,-6.635252,-7.619108,174.970520,-3059.424072,-1416.030273,-15.895037
45,0.750000,-0.300441,-0.648194,-5.634012,3041.289062,-1458.403320,1155.436523,-7.697122,-10.594005,175.057007,-3059.328857,-1416.049194,-15.440576
46,0.766667,-0.315410,-0.656262,-5.684512,3041.327393,-1458.420410,1155.398926,-7.025118,-9.127372,175.010788,-3059.414062,-1416.089722,-15.694065
47,0.783333,-0.335742,-0.590624,-5.706535,3041.222900,-1458.431763,1155.463257,-6.559287,-7.541037,174.929565,-3059.530029,-1416.117188,-15.870272
48,0.800000,-0.337223,-0.504114,-5.795630,3041.109619,-1458.433472,1155.566162,-6.542445,-7.605359,175.030106,-3059.466064,-1416.081177,-15.946273
49,0.816667,-0.257146,-0.469891,-5.685365,3041.091553,-1458.355103,1155.605469,-6.584663,-7.827833,175.026459,-3059.400635,-1416.110352,-15.964625
50,0.833333,-0.240956,-0.461058,-5.625514,3041.049072,-1458.354370,1155.630005,-6.641226,-7.742073,174.968948,-3059.446777,-1416.076050,-15.850503
51,0.850000,-0.282389,-0.421916,-5.709739,3040.985840,-1458.383911,1155.613525,-6.639756,-7.944116,175.086258,-3059.437256,-1416.087402,-15.873469
52,0.866667,-0.292553,-0.536602,-5.719296,3041.116699,-1458.360107,1155.534668,-6.684626,-8.180012,175.051910,-3059.407715,-1416.126953,-15.922550
53,0.883333,-0.328487,-0.543799,-5.702921,3041.134033,-1458.375488,1155.487671,-7.991158,-11.052607,175.017075,-3059.375732,-1416.053833,-15.259446
54,0.900000,-0.311682,-0.560692,-5.651748,3041.206543,-1458.368042,1155.481934,-7.127004,-8.944000,174.889389,-3059.493652,-1416.144775,-15.653825
55,0.916667,-0.319462,-0.574778,-5.643385,3041.287354,-1458.337280,1155.477539,-6.670029,-8.241792,174.958832,-3059.431641,-1416.155884,-15.926635
56,0.933333,-0.365549,-0.555480,-5.723153,3041.439453,-1458.334961,1155.413086,-7.754339,-10.517074,175.017487,-3059.362549,-1416.057617,-15.459128
57,0.950000,-0.372785,-0.625732,-5.741882,3041.459473,-1458.369751,1155.424316,-7.120750,-8.817315,174.998489,-3059.418945,-1416.068604,-15.641382
58,0.966667,-0.301034,-0.590727,-5.633965,3041.311035,-1458.399902,1155.491211,-6.633837,-7.746239,174.967896,-3059.433594,-1416.138672,-15.989095
59,0.983333,-0.286598,-0.640086,-5.608793,3041.259521,-1458.404663,1155.500366,-6.574065,-7.725441,175.011734,-3059.409180,-1416.071899,-15.960341
60,1.000000,-0.262794,-0.710538,-5.616905,3041.267090,-1458.437622,1155.472778,-6.620149,-7.671445,174.997803,-3059.467041,-1416.047485,-15.855234
61,1.016667,-0.251031,-0.612033,-5.591601,3041.154541,-1458.427490,1155.563477,-6.522339,-7.881981,175.090515,-3059.441895,-1416.129272,-15.953403
62,1.033333,-0.250400,-0.492137,-5.618950,3041.035156,-1458.369019,1155.653198,-7.667057,-10.725205,175.054886,-3059.367432,-1416.113159,-15.441058
63,1.050000,-0.251544,-0.489817,-5.679937,3041.070557,-1458.343872,1155.611084,-6.898433,-9.147850,174.825424,-3059.580078,-1416.113770,-15.730869
64,1.066667,-0.294729,-0.526169,-5.738309,3041.140137,-1458.347046,1155.546631,-6.455576,-7.722768,174.943024,-3059.459229,-1416.194702,-15.952695
65,1.083333,-0.376010,-0.425674,-5.852426,3041.065674,-1458.366089,1155.550049,-6.504257,-7.743785,175.047729,-3059.417480,-1416.108398,-15.958680
66,1.100000,-0.390214,-0.348767,-5.902018,3041.184814,-1458.348145,1155.508057,-6.539364,-7.580643,174.983292,-3059.466064,-1416.066895,-15.832475
67,1.116667,-0.376441,-0.457013,-5.864462,3041.284424,-1458.343506,1155.480591,-6.573720,-7.776939,175.049942,-3059.443359,-1416.117310,-15.878308
68,1.133333,-0.338421,-0.584341,-5.771242,3041.325684,-1458.383301,1155.434082,-6.594737,-8.028824,175.099442,-3059.423584,-1416.106201,-15.894657
69,1.150000,-0.322193,-0.668050,-5.678963,3041.364258,-1458.427246,1155.416504,-7.876213,-10.813159,175.060974,-3059.394531,-1416.088013,-15.383737
70,1.166667,-0.316989,-0.742719,-5.631309,3041.406494,-1458.439819,1155.419678,-7.113938,-9.045653,175.058456,-3059.491211,-1416.091064,-15.684888
71,1.183333,-0.315301,-0.741288,-5.592587,3041.380127,-1458.435425,1155.430054,-6.624466,-8.252541,175.106934,-3059.408691,-1416.089966,-15.902703
72,1.200000,-0.313496,-0.652260,-5.611694,3041.274658,-1458.410156,1155.481567,-7.518188,-9.831352,175.049942,-3059.386719,-1416.066650,-15.480123
73,1.216667,-0.303905,-0.608732,-5.669724,3041.300537,-1458.391602,1155.483032,-6.664079,-8.556864,174.897247,-3059.553223,-1416.097656,-15.865713
74,1.233333,-0.315711,-0.607225,-5.683681,3041.337402,-1458.395020,1155.467285,-6.603256,-8.107742,175.124405,-3059.433105,-1416.066040,-16.010836
75,1.250000,-0.276639,-0.561400,-5.625838,3041.250732,-1458.379761,1155.510742,-7.379974,-9.674167,175.004959,-3059.337891,-1416.058838,-15.573665
76,1.266667,-0.359487,-0.481253,-5.820221,3041.302979,-1458.369751,1155.465698,-6.575665,-8.680893,174.922668,-3059.512451,-1416.063843,-15.828254
77,1.283333,-0.361764,-0.539196,-5.780943,3041.366455,-1458.355835,1155.450195,-6.435293,-7.975309,175.160782,-3059.406250,-1416.067749,-15.890696
